Cluster,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
0,1963.8091397849462,40188.8561827957,0.7231182795698925,0.9704301075268817,51.266129032258064,42.784946236559136,2.932795698924731,16.263440860215052,3.663978494623656,2.9301075268817205,10.161290322580646,2.013440860215054,1.7688172043010753,0.4489247311827957,3.274193548387097,5.709677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1967.3207547169811,65360.47169811321,0.12578616352201258,0.5911949685534591,51.84905660377358,459.3836477987421,36.0,235.22641509433961,54.9622641509434,36.943396226415096,44.79245283018868,2.220125786163522,5.440251572327044,4.182389937106918,8.836477987421384,3.9056603773584904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1964.175,53406.175,0.25416666666666665,0.9458333333333333,47.641666666666666,306.8333333333333,11.054166666666667,86.3,15.3375,10.6,41.94166666666667,3.308333333333333,5.4375,2.075,6.6375,5.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1978.254004576659,28982.779176201373,0.8558352402745996,0.009153318077803204,51.7299771167048,24.887871853546912,5.510297482837529,21.411899313501145,8.20366132723112,5.576659038901602,12.94050343249428,1.7299771167048055,2.0366132723112127,0.36613272311212813,3.102974828375286,6.787185354691076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
